submission_date,state_name,tot_cases,new_cases,tot_deaths,new_deaths
02/18/2021,New York,1575286,8285,46243,152
03/23/2021,New York,1813478,9594,49409,78
04/11/2020,New York,180458,9574,8627,783
08/22/2020,New York,430408,681,32582,15
02/14/2020,New York,0,0,0,0
02/05/2021,New York,1466666,10341,44296,196
03/17/2021,New York,1764284,5099,48940,74
02/09/2020,New York,0,0,0,0
10/15/2020,New York,481030,1543,33042,9
01/25/2021,New York,1354744,10895,42338,189
05/27/2020,New York,367994,1356,29392,103
05/28/2020,New York,369460,1466,29500,108
04/23/2020,New York,263744,10525,20255,999
02/15/2020,New York,0,0,0,0
01/10/2021,New York,1142559,14782,39441,183
02/13/2021,New York,1536773,7907,45556,135
06/30/2020,New York,395294,627,31784,15
03/05/2020,New York,14,12,0,0
07/04/2020,New York,398327,652,31891,36
08/27/2020,New York,433245,787,32619,9
03/16/2020,New York,831,162,6,0
09/18/2020,New York,449568,1077,32784,1
06/06/2020,New York,379322,6225,30152,86
06/07/2020,New York,380089,767,30216,64
04/04/2021,New York,1908898,7377,50385,72
01/12/2021,New York,1172296,15670,39792,165
04/05/2021,New York,1915072,6174,50452,67
09/21/2020,New York,451648,607,32795,-2
08/01/2020,New York,417273,640,32395,18
04/09/2020,New York,157073,7757,7451,1211
12/03/2020,New York,684310,10654,34496,74
11/07/2020,New York,529244,3506,33414,28
12/30/2020,New York,969524,12886,37610,157
08/03/2020,New York,418352,622,32419,9
04/21/2020,New York,250800,5220,19103,736
01/24/2020,New York,0,0,0,0
03/03/2021,New York,1668875,6957,47729,105
02/16/2021,New York,1557459,6193,45933,109
05/15/2020,New York,343304,2505,27755,138
03/28/2021,New York,1855757,9677,49812,68
08/25/2020,New York,431920,585,32604,5
11/06/2020,New York,525738,3333,33386,19
04/16/2020,New York,216703,5153,14724,418
08/14/2020,New York,425315,360,32512,3
02/15/2021,New York,1551266,6592,45824,137
09/19/2020,New York,450255,687,32791,7
02/23/2021,New York,1610061,6590,46824,113
04/29/2020,New York,294715,4234,22759,484
11/18/2020,New York,577838,5317,33740,47
03/27/2021,New York,1846080,8736,49744,113
01/19/2021,New York,1275240,11863,41186,209
07/18/2020,New York,407972,638,32179,21
